accession	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue
GCA_000017945-FLGBHGLA_07020	arCOG00865	NtpB	Archaeal/vacuolar-type_H+-ATPase_subunit_B	C	1.9e-197
GCA_000017945-FLGBHGLA_07030	arCOG04101	NtpD	Archaeal/vacuolar-type_H+-ATPase_subunit_D	C	1.2e-40
GCA_000017945-FLGBHGLA_07040	-	-	-	-	-
GCA_000017945-FLGBHGLA_07050	arCOG02455	AtpK	Archaeal/vacuolar-type_Na+/H+-ATPase,_subunit_K	C	1.9e-13
GCA_000017945-FLGBHGLA_07060	arCOG00918	HemL	Glutamate-1-semialdehyde_aminotransferase	H	6.2e-157
GCA_000017945-FLGBHGLA_07070	arCOG04299	HemC	Porphobilinogen_deaminase	H	8.6e-90
GCA_000017945-FLGBHGLA_07080	arCOG00398	-	ASCH_domain,_predicted_RNA-binding_domain	J	6.2e-64
GCA_000017945-FLGBHGLA_07090	arCOG00279	SpeD	S-adenosylmethionine_decarboxylase/arginine_decarboxylase	E	9.8e-43
GCA_000017945-FLGBHGLA_07100	arCOG00655	-	Predicted_periplasmic_solute-binding_protein	R	7e-36
GCA_000017945-FLGBHGLA_07110	-	-	-	-	-
GCA_000017945-FLGBHGLA_07120	arCOG04536	ArfB	Creatinine_amidohydrolase/Fe(II)-dependent_formamide_hydrolase_involved_in_riboflavin_and_F420_biosynthesis	H	2.5e-45
GCA_000017945-FLGBHGLA_07130	arCOG15272	PolB1	DNA_polymerase_PolB1	L	0
GCA_000017945-FLGBHGLA_07140	arCOG04050	FEN1	5'-3'_exonuclease	L	1.4e-61
GCA_000017945-FLGBHGLA_07150	arCOG07192	-	Transcriptional_regulator,_PadR_family	K	9.6e-13
GCA_000017945-FLGBHGLA_07160	arCOG01308	Cdc48	ATPase_of_the_AAA+_class_,_CDC48_family	O	0
GCA_000017945-FLGBHGLA_07170	arCOG04279	-	Swiveling_domain_associated_with_predicted_aconitase	C	1.9e-36
GCA_000017945-FLGBHGLA_07180	arCOG04278	-	Predicted_aconitase	C	3.1e-123
GCA_000017945-FLGBHGLA_07190	arCOG01087	TpiA	Triosephosphate_isomerase	G	1.4e-62
GCA_000017945-FLGBHGLA_07200	arCOG04187	Sdo1	Ribosome_maturation_protein_Sdo1	J	5.4e-76
GCA_000017945-FLGBHGLA_07210	arCOG00930	MoaA	Molybdenum_cofactor_biosynthesis_enzyme	H	5.2e-86
GCA_000017945-FLGBHGLA_07220	-	-	-	-	-
GCA_000017945-FLGBHGLA_07230	-	-	-	-	-
GCA_000017945-FLGBHGLA_07240	arCOG01688	-	Predicted_transcriptional_regulator,_contains_HTH_and_4VR_domain	R	4.1e-10
GCA_000017945-FLGBHGLA_07250	arCOG02100	TroR	Mn-dependent_transcriptional_regulator_(DtxR_family)	K	1.1e-21
GCA_000017945-FLGBHGLA_07260	arCOG04373	-	Uncharacterized_protein_YqgV,_UPF0045/DUF77_family	S	1.4e-28
GCA_000017945-FLGBHGLA_07270	arCOG00040	Hpt1	Hypoxanthine_phosphoribosyltransferase	H	4.1e-44
GCA_000017945-FLGBHGLA_07280	arCOG00570	-	Geranylgeranyl_reductase,_flavoprotein	I	1.6e-44
GCA_000017945-FLGBHGLA_07290	arCOG01580	-	DNA-binding_transcriptional_regulator,_Lrp_family	K	5.2e-33
GCA_000017945-FLGBHGLA_07300	arCOG00042	TilS	tRNA(Ile)-lysidine_synthase_TilS/MesJ	J	2.2e-77
GCA_000017945-FLGBHGLA_07310	arCOG01359	-	Radical_SAM_superfamily_enzyme	C	8.4e-162
GCA_000017945-FLGBHGLA_07320	arCOG03005	-	Nucleoside_triphosphate_pyrophosphohydrolase,_MazG_superfamily	F	1.5e-16
GCA_000017945-FLGBHGLA_07330	arCOG03748	MarR	Transcriptional_regulator,_MarR_family	K	2.7e-10
GCA_000017945-FLGBHGLA_07340	-	-	-	-	-
GCA_000017945-FLGBHGLA_07350	arCOG06688	-	Uncharacterized_membrane_protein,_DUF2029_family	S	1.1e-121
GCA_000017945-FLGBHGLA_07360	arCOG00488	DnaN	DNA_polymerase_sliding_clamp_subunit_(PCNA_homolog)	L	6.7e-47
GCA_000017945-FLGBHGLA_07370	arCOG04292	-	Uncharacterized_protein	S	1e-46
GCA_000017945-FLGBHGLA_07380	arCOG05935	-	Predicted_ATPase/Helicase_of_FtsK_superfamily	R	2.8e-82
GCA_000017945-FLGBHGLA_07390	arCOG05930	SedA	Membrane_protein_involved_in_DNA_uptake	N	3.2e-97
GCA_000017945-FLGBHGLA_07400	arCOG00073	CysH/DndC	PAPS_reductase_related_enzyme__fused_to_RNA-binding_PUA_domain_and_ferredoxin_domain	E	7.4e-136
GCA_000017945-FLGBHGLA_07410	-	-	-	-	-
GCA_000017945-FLGBHGLA_07420	arCOG02960	-	Peptidase_family_M28/Iap_family	R	7.2e-19
GCA_000017945-FLGBHGLA_07430	arCOG04228	Pth2	Peptidyl-tRNA_hydrolase	J	3.6e-40
GCA_000017945-FLGBHGLA_07440	arCOG00967	-	tRNA_m(1)G_methyltransferase	J	4.4e-78
GCA_000017945-FLGBHGLA_07450	arCOG00586	Soj	ATPase_involved_in_chromosome_partitioning,__ParA_family	D	9.4e-20
GCA_000017945-FLGBHGLA_07460	arCOG04314	RPS28A	Ribosomal_protein_S28E/S33	J	7e-30
GCA_000017945-FLGBHGLA_07470	arCOG01950	RPL24A	Ribosomal_protein_L24E	J	7e-25
GCA_000017945-FLGBHGLA_07480	arCOG04313	Ndk	Nucleoside_diphosphate_kinase	F	7.1e-55
GCA_000017945-FLGBHGLA_07490	arCOG03142	-	Nuclease_of_RNase_H_fold,_RuvC/YqgF_family	L	1.2e-16
GCA_000017945-FLGBHGLA_07500	arCOG01911	SppA	Periplasmic_serine_protease_(ClpP_class)	O	5.5e-50
GCA_000017945-FLGBHGLA_07510	arCOG00495	ArgC	Acetylglutamate_semialdehyde_dehydrogenase	E	8.4e-115
GCA_000017945-FLGBHGLA_07520	arCOG01269	LivH	Branched-chain_amino_acid_ABC-type_transport_system,_permease_component	E	3.1e-90
GCA_000017945-FLGBHGLA_07530	arCOG01273	LivM	ABC-type_branched-chain_amino_acid_transport_system,_permease_component	E	2.7e-99
GCA_000017945-FLGBHGLA_07540	arCOG00925	LivG	ABC-type_branched-chain_amino_acid_transport_system,_ATPase_component	E	2.9e-110
GCA_000017945-FLGBHGLA_07550	arCOG00924	LivF	ABC-type_branched-chain_amino_acid_transport_system,_ATPase_component	E	4.7e-74
GCA_000017945-FLGBHGLA_07560	arCOG00858	PyrH	Uridylate_kinase	F	1.4e-48
GCA_000017945-FLGBHGLA_07570	-	-	-	-	-
GCA_000017945-FLGBHGLA_07580	arCOG00280	-	HerA_helicase	L	2.7e-85
GCA_000017945-FLGBHGLA_07590	arCOG00367	-	NurA_5'-3'_nuclease	L	3.5e-21
GCA_000017945-FLGBHGLA_07600	-	-	-	-	-
GCA_000017945-FLGBHGLA_07610	-	-	-	-	-
GCA_000017945-FLGBHGLA_07620	arCOG04322	PepB	Leucyl_aminopeptidase	E	8.3e-143
GCA_000017945-FLGBHGLA_07630	-	-	-	-	-
GCA_000017945-FLGBHGLA_07640	-	-	-	-	-
GCA_000017945-FLGBHGLA_07650	arCOG00589	FlhG	FleN_family_ATPase_involved_in_pili_biosynthesis	N	1.1e-13
GCA_000017945-FLGBHGLA_07660	-	-	-	-	-
GCA_000017945-FLGBHGLA_07670	-	-	-	-	-
GCA_000017945-FLGBHGLA_07680	-	-	-	-	-
GCA_000017945-FLGBHGLA_07690	-	-	-	-	-
GCA_000017945-FLGBHGLA_07700	-	-	-	-	-
GCA_000017945-FLGBHGLA_07710	arCOG01876	MetE	Methionine_synthase_II_(cobalamin-independent)	E	1.5e-93
GCA_000017945-FLGBHGLA_07720	arCOG01877	MetE	Methionine_synthase_II_(cobalamin-independent)	E	3.5e-66
GCA_000017945-FLGBHGLA_07730	arCOG04989	-	SAM-dependent_methyltransferase	Q	5.2e-23
GCA_000017945-FLGBHGLA_07740	arCOG00472	-	Orc1/cdc6_family_replication_initiation_protein_fused_to_HTH_domain	L	1e-72
GCA_000017945-FLGBHGLA_07750	arCOG04069	MTH1	RNA_methyltransferase,_SPOUT_superfamily	R	3.6e-49
GCA_000017945-FLGBHGLA_07760	-	-	-	-	-
GCA_000017945-FLGBHGLA_07770	arCOG00494	Asd	Aspartate-semialdehyde_dehydrogenase	E	8.6e-110
GCA_000017945-FLGBHGLA_07780	arCOG06454	-	Predicted_ribonuclease_NYN_domain	R	1.2e-64
GCA_000017945-FLGBHGLA_07790	arCOG02208	HisG	ATP_phosphoribosyltransferase	E	4.5e-86
GCA_000017945-FLGBHGLA_07800	-	-	-	-	-
GCA_000017945-FLGBHGLA_07810	arCOG01037	Cmk	Cytidylate_kinase	F	2e-38
GCA_000017945-FLGBHGLA_07820	arCOG00585	Mrp	Mrp_family_protein,_ATPase,_contains_iron-sulfur_cluster	D	2e-89
GCA_000017945-FLGBHGLA_07830	arCOG01028	ERG12	Mevalonate_kinase	I	1.2e-64
GCA_000017945-FLGBHGLA_07840	arCOG09415	-	Membrane_associated_metal-binding_domain_fused_to_Reeler_domain	R	1.2e-99
GCA_000017945-FLGBHGLA_07850	arCOG04308	-	Uncharacterized_protein	S	1.7e-34
GCA_000017945-FLGBHGLA_07860	arCOG04307	CafA	Ribonuclease_G_and_E	J	1.4e-139
GCA_000017945-FLGBHGLA_07870	-	-	-	-	-
GCA_000017945-FLGBHGLA_07880	arCOG04106	CdsA	CDP-diglyceride_synthetase	I	3.6e-49
GCA_000017945-FLGBHGLA_07890	arCOG00906	Nop10	rRNA_maturation_protein_Nop10,_contains_Zn-ribbon_domain	J	1.5e-22
GCA_000017945-FLGBHGLA_07900	arCOG04107	SUI2	Translation_initiation_factor_2,_alpha_subunit_(eIF-2alpha)	J	1.5e-76
GCA_000017945-FLGBHGLA_07910	arCOG01045	CoaE	Dephospho-CoA_kinase	H	8.4e-46
GCA_000017945-FLGBHGLA_07920	arCOG04154	RPS8A	Ribosomal_protein_S8E	J	6.1e-45
GCA_000017945-FLGBHGLA_07930	arCOG01217	SEC65	Signal_recognition_particle_19_kDa_protein	U	1.1e-23
GCA_000017945-FLGBHGLA_07940	arCOG02466	GAR1	RNA-binding_protein_involved_in_rRNA_processing	J	2e-06
GCA_000017945-FLGBHGLA_07950	arCOG01981	SUA7	Transcription_initiation_factor_TFIIB,_Brf1_subunit/Transcription_initiation_factor_TFIIB	K	2.8e-19
GCA_000017945-FLGBHGLA_07960	arCOG08088	-	Uncharacterized_membrane_protein	S	8.3e-35
GCA_000017945-FLGBHGLA_07970	-	-	-	-	-
GCA_000017945-FLGBHGLA_07980	arCOG00617	HisF	Imidazoleglycerol-phosphate_synthase	E	2.3e-106
GCA_000017945-FLGBHGLA_07990	-	-	-	-	-
GCA_000017945-FLGBHGLA_08000	arCOG03199	AglH/Rfe	UDP-N-acetylmuramyl_pentapeptide_phosphotransferase/UDP-N-acetylglucosamine-1-phosphate_transferase	M	2.5e-76
GCA_000017945-FLGBHGLA_08010	-	-	-	-	-
GCA_000017945-FLGBHGLA_08020	arCOG01772	FucI	L-fucose_isomerase_or_related_protein	G	9.9e-79
GCA_000017945-FLGBHGLA_08030	arCOG04129	RPL21A	Ribosomal_protein_L21E	J	1.1e-27
GCA_000017945-FLGBHGLA_08040	arCOG02172	QueD	6-pyruvoyl-tetrahydropterin_synthase	H	1e-11
GCA_000017945-FLGBHGLA_08050	arCOG09420	-	Uncharacterized_protein	S	1.3e-43
GCA_000017945-FLGBHGLA_08060	-	-	-	-	-
GCA_000017945-FLGBHGLA_08070	arCOG04150	Krr1	rRNA_processing_protein_Krr1/Pno1,_contains_KH_domain	J	1.7e-42
GCA_000017945-FLGBHGLA_08080	arCOG01831	-	Predicted_nucleotidyltransferase	R	2.9e-48
GCA_000017945-FLGBHGLA_08090	-	-	-	-	-
GCA_000017945-FLGBHGLA_08100	-	-	-	-	-
GCA_000017945-FLGBHGLA_08110	arCOG00254	-	Predicted_dinucleotide-utilizing_enzyme	R	1.4e-40
GCA_000017945-FLGBHGLA_08120	arCOG00035	Dph6	Diphthamide_synthase_(EF-2-diphthine--ammonia_ligase)	J	1.2e-48
GCA_000017945-FLGBHGLA_08130	arCOG00068	GutQ	D-arabinose_5-phosphate_isomerase_GutQ	G	2.1e-65
GCA_000017945-FLGBHGLA_08140	arCOG01290	SplB	DNA_repair_photolyase	L	3.9e-53
GCA_000017945-FLGBHGLA_08150	-	-	-	-	-
GCA_000017945-FLGBHGLA_08160	arCOG04122	Emg1	rRNA_pseudouridine-1189_N-methylase_Emg1,_Nep1/Mra1_family	J	1.8e-80
GCA_000017945-FLGBHGLA_08170	-	-	-	-	-
GCA_000017945-FLGBHGLA_08180	arCOG04208	RPL43A	Ribosomal_protein_L37AE/L43A	J	1.7e-09
GCA_000017945-FLGBHGLA_08190	arCOG03247	IMP4	Predicted_exosome_subunit/U3_small_nucleolar_ribonucleoprotein_(snoRNP)_component,_contains_IMP4_domain	J	9.4e-33
GCA_000017945-FLGBHGLA_08200	arCOG04414	Pcc1	Subunit_of_KEOPS_complex_(Cgi121BUD32KAE1)	J	5.4e-12
GCA_000017945-FLGBHGLA_08210	arCOG01225	-	GTPase_SAR1_or_related_small_G_protein	R	3.3e-80
GCA_000017945-FLGBHGLA_08220	arCOG04032	-	Eukaryotic-type_DNA_primase,_catalytic_(small)_subunit_homolog,_fused_to_HTH_domain_and_deviated_primase_large_subunit	L	5.9e-56
GCA_000017945-FLGBHGLA_08230	-	-	-	-	-
GCA_000017945-FLGBHGLA_08240	arCOG01331	HtpX	Zn-dependent_protease_with_chaperone_function	O	3e-53
GCA_000017945-FLGBHGLA_08250	arCOG00130	-	MFS_family_permease	G	3.1e-18
GCA_000017945-FLGBHGLA_08260	arCOG01500	FdhB	Fe-S-cluster-containing_formate_dehydrogenase_component	C	5e-42
GCA_000017945-FLGBHGLA_08270	arCOG01495	MopB	Molybdopterin_oxidoreductase	C	1e-178
GCA_000017945-FLGBHGLA_08280	arCOG02026	-	Polysulphide_reductase,_NrfD	C	2.2e-54
GCA_000017945-FLGBHGLA_08290	arCOG00613	LldD/Idi	FMN-dependent_dehydrogenase,_includes_L-lactate_dehydrogenase_and_type_II_isopentenyl_diphosphate_isomerase	H	1.2e-101
GCA_000017945-FLGBHGLA_08300	arCOG04398	HisB	Imidazoleglycerol-phosphate_dehydratase	E	9.5e-56
GCA_000017945-FLGBHGLA_08310	-	-	-	-	-
GCA_000017945-FLGBHGLA_08320	arCOG03508	-	Surface_protein,_possibly_associated_with_type_IV_pili_like_system	N	2.2e-90
GCA_000017945-FLGBHGLA_08330	-	-	-	-	-
GCA_000017945-FLGBHGLA_08340	arCOG02491	-	WD40_repeats_containing_protein	S	3e-53
GCA_000017945-FLGBHGLA_08350	-	-	-	-	-
GCA_000017945-FLGBHGLA_08360	-	-	-	-	-
GCA_000017945-FLGBHGLA_08370	arCOG02187	NapF	Ferredoxin_domain_containing_protein	C	2.5e-15
GCA_000017945-FLGBHGLA_08380	arCOG01342	GimC	Prefoldin,_chaperonin_cofactor	O	1.1e-22
GCA_000017945-FLGBHGLA_08390	arCOG10281	-	Uncharacterized_protein	S	8.9e-06
GCA_000017945-FLGBHGLA_08400	arCOG01565	NrnA	nanoRNase/pAp_phosphatase,_hydrolyzes_c-di-AMP_and_oligoRNAs	F	3e-97
GCA_000017945-FLGBHGLA_08410	arCOG01391	-	Glycosyl_transferase_family_2	M	2.5e-59
GCA_000017945-FLGBHGLA_08420	-	-	-	-	-
GCA_000017945-FLGBHGLA_08430	arCOG00996	Tgt	Queuine/archaeosine_tRNA-ribosyltransferase	J	2.3e-65
GCA_000017945-FLGBHGLA_08440	arCOG00048	RlmL	23S_rRNA_G2445_N2-methylase_RlmL	J	7.3e-99
GCA_000017945-FLGBHGLA_08450	-	-	-	-	-
GCA_000017945-FLGBHGLA_08460	arCOG00536	MoaD	Molybdopterin_converting_factor,_small_subunit	H	7.3e-16
GCA_000017945-FLGBHGLA_08470	arCOG03413	CDC14	Protein-tyrosine_phosphatase	T	3.9e-26
GCA_000017945-FLGBHGLA_08480	arCOG01982	SgcQ	Predicted_TIM-barrel_enzyme	R	2.6e-95
GCA_000017945-FLGBHGLA_08490	-	-	-	-	-
GCA_000017945-FLGBHGLA_08500	-	-	-	-	-
GCA_000017945-FLGBHGLA_08510	arCOG04458	-	Uncharacterized_protein_of_DIM6/NTAB_family	R	1.8e-15
GCA_000017945-FLGBHGLA_08520	arCOG04426	HybF	Zn_finger_protein_HypA/HybF_(possibly_regulating_hydrogenase_expression)	R	2.2e-39
GCA_000017945-FLGBHGLA_08530	arCOG00933	-	7,8-dihydro-6-hydroxymethylpterin_dimethyltransferase,_radical_SAM_superfamily_enzyme	H	2.9e-182
GCA_000017945-FLGBHGLA_08540	arCOG05941	-	Uncharacterized_protein	S	5.4e-24
GCA_000017945-FLGBHGLA_08550	arCOG04479	-	Transcriptional_regulator_containing_an_HTH_domain_fused_to_a_Zn-ribbon	K	7.2e-39
GCA_000017945-FLGBHGLA_08560	arCOG00238	ArsB	Na+/H+_antiporter_NhaD_or_related_arsenite_permease	P	7.7e-58
GCA_000017945-FLGBHGLA_08570	-	-	-	-	-
GCA_000017945-FLGBHGLA_08580	arCOG00600	-	CBS_domain	R	4.3e-11
GCA_000017945-FLGBHGLA_08590	arCOG04536	ArfB	Creatinine_amidohydrolase/Fe(II)-dependent_formamide_hydrolase_involved_in_riboflavin_and_F420_biosynthesis	H	3.3e-22
GCA_000017945-FLGBHGLA_08600	-	-	-	-	-
GCA_000017945-FLGBHGLA_08610	-	-	-	-	-
GCA_000017945-FLGBHGLA_08620	arCOG00993	NIP7	Protein_involved_in_ribosomal_biogenesis,_contains_PUA_domain	J	1.2e-12
GCA_000017945-FLGBHGLA_08630	arCOG04318	-	Predicted_RNA-binding_protein_of_the_translin_family	J	4.9e-51
GCA_000017945-FLGBHGLA_08640	arCOG04119	-	Predicted_nucleotidyltransferase	R	3.2e-55
GCA_000017945-FLGBHGLA_08650	arCOG04049	RPL40A	Ribosomal_protein_L40E	J	8.9e-17
GCA_000017945-FLGBHGLA_08660	arCOG01628	-	DNA-binding_transcriptional_regulator,_Lrp_family	K	7.5e-92
GCA_000017945-FLGBHGLA_08670	arCOG07764	-	Predicted_transcriptional_regulator	K	7.7e-87
GCA_000017945-FLGBHGLA_08680	arCOG04269	NreA	DNA_repair_protein_NreA	L	8.3e-71
GCA_000017945-FLGBHGLA_08690	-	-	-	-	-
GCA_000017945-FLGBHGLA_08700	arCOG04421	PurC	Phosphoribosylaminoimidazolesuccinocarboxamide_(SAICAR)_synthase	F	5.4e-53
GCA_000017945-FLGBHGLA_08710	arCOG04462	PurS	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_PurS_component	F	8.2e-13
GCA_000017945-FLGBHGLA_08720	arCOG00102	PurL	Phosphoribosylformylglycinamidine_(FGAM)_synthase,_glutamine_amidotransferase_domain	F	8.2e-60
GCA_000017945-FLGBHGLA_08730	arCOG00921	-	Predicted_transcriptional_regulator	K	4.2e-67
GCA_000017945-FLGBHGLA_08740	-	-	-	-	-
GCA_000017945-FLGBHGLA_08750	arCOG01182	-	Predicted_Ser/Thr_protein_kinase	T	3.5e-78
GCA_000017945-FLGBHGLA_08760	arCOG04249	CCA1	tRNA_nucleotidyltransferase_(CCA-adding_enzyme)	J	4.9e-92
GCA_000017945-FLGBHGLA_08770	arCOG01736	LigT	2'-5'_RNA_ligase	J	1.7e-46
GCA_000017945-FLGBHGLA_08780	arCOG00579	RPB9	DNA-directed_RNA_polymerase,_subunit_M/Transcription_elongation_factor_TFIIS	K	1.5e-24
GCA_000017945-FLGBHGLA_08790	arCOG00401	ThrS	Threonyl-tRNA_synthetase	J	5.7e-72
GCA_000017945-FLGBHGLA_08800	arCOG00488	DnaN	DNA_polymerase_sliding_clamp_subunit_(PCNA_homolog)	L	4.2e-63
GCA_000017945-FLGBHGLA_08810	arCOG04110	PRI1	Eukaryotic-type_DNA_primase,_catalytic_(small)_subunit	L	2.9e-51
GCA_000017945-FLGBHGLA_08820	arCOG02583	-	Fe-S-cluster_containining_protein	R	7.4e-66
GCA_000017945-FLGBHGLA_08830	-	-	-	-	-
GCA_000017945-FLGBHGLA_08840	arCOG00062	Nit1	Deaminated_glutathione_amidase	O	4.3e-33
GCA_000017945-FLGBHGLA_08850	arCOG00002	-	Transcriptional_regulator,_PadR_family	K	3.1e-16
GCA_000017945-FLGBHGLA_08860	arCOG00492	ARO8	Transcriptional_regulators_containing_a_DNA-binding_HTH_domain_and_an_aminotransferase_domain_(MocR_family)	K	2.3e-150
GCA_000017945-FLGBHGLA_08870	arCOG04185	RpsO	Ribosomal_protein_S15P	J	6.6e-65
GCA_000017945-FLGBHGLA_08880	arCOG00427	RecJ/Cdc45	Single-stranded_DNA-specific_exonuclease_RecJ	L	6.3e-27
GCA_000017945-FLGBHGLA_08890	-	-	-	-	-
GCA_000017945-FLGBHGLA_08900	arCOG04186	RPS1A	Ribosomal_protein_S3AE	J	8e-63
GCA_000017945-FLGBHGLA_08910	arCOG00459	Nth	EndoIII-related_endonuclease	L	1.7e-39
GCA_000017945-FLGBHGLA_08920	-	-	-	-	-
GCA_000017945-FLGBHGLA_08930	-	-	-	-	-
GCA_000017945-FLGBHGLA_08940	arCOG00039	QueC	7-cyano-7-deazaguanine_synthase_(queuosine_biosynthesis)	J	1.6e-48
GCA_000017945-FLGBHGLA_08950	arCOG00656	CofG	FO_synthase_or_thiamine_biosynthesis_enzyme_ThiH__	H	1.4e-100
GCA_000017945-FLGBHGLA_08960	arCOG04430	-	HD_superfamily_phosphohydrolase	R	1.9e-63
GCA_000017945-FLGBHGLA_08970	arCOG04084	-	Predicted_glycosylase	G	1.6e-22
GCA_000017945-FLGBHGLA_08980	arCOG04213	INO1	Myo-inositol-1-phosphate_synthase	I	5.4e-103
GCA_000017945-FLGBHGLA_08990	arCOG04325	PhoH	Phosphate_starvation-inducible_protein_PhoH,_predicted_ATPase	T	4.4e-149
GCA_000017945-FLGBHGLA_09000	arCOG00666	GCD1	N-acetylglucosamine-1-phosphate_uridyltransferase	M	1.7e-61
GCA_000017945-FLGBHGLA_09010	arCOG01978	FolP	Dihydropteroate_synthase_or_related_enzyme	H	5.4e-89
GCA_000017945-FLGBHGLA_09020	arCOG00654	-	Predicted_periplasmic_solute-binding_protein	R	1.5e-84
GCA_000017945-FLGBHGLA_09030	arCOG06980	-	Predicted_metal-dependent_peptidase_fused_to_vWFA_domain	R	7.2e-129
GCA_000017945-FLGBHGLA_09040	arCOG00976	Pcm	Protein-L-isoaspartate_carboxylmethyltransferase	O	8e-75
GCA_000017945-FLGBHGLA_09050	-	-	-	-	-
GCA_000017945-FLGBHGLA_09060	arCOG00404	HisS	Histidyl-tRNA_synthetase	J	2.1e-91
GCA_000017945-FLGBHGLA_09070	arCOG01711	Ppa	Inorganic_pyrophosphatase	C	2.6e-72
GCA_000017945-FLGBHGLA_09080	-	-	-	-	-
GCA_000017945-FLGBHGLA_09090	arCOG03748	MarR	Transcriptional_regulator,_MarR_family	K	2.4e-11
GCA_000017945-FLGBHGLA_09100	arCOG00318	PhoU	Phosphate_uptake_regulator	P	1.6e-37
GCA_000017945-FLGBHGLA_09110	arCOG05995	-	Uncharacterized_protein	S	9.6e-19
GCA_000017945-FLGBHGLA_09120	arCOG00767	{ManB}	Phosphomannomutase	G	3e-131
GCA_000017945-FLGBHGLA_09130	arCOG01958	Kch	Kef-type_K+_transport_system,_predicted_NAD-binding_component	P	3.4e-42
GCA_000017945-FLGBHGLA_09140	arCOG02491	-	WD40_repeats_containing_protein	S	4e-07
GCA_000017945-FLGBHGLA_09150	arCOG00020	ThiD	Hydroxymethylpyrimidine/phosphomethylpyrimidine_kinase	H	5.6e-73
GCA_000017945-FLGBHGLA_09160	arCOG01937	-	Archaeal_serine_protease,_S18_family	R	2e-114
GCA_000017945-FLGBHGLA_09170	arCOG04291	-	Sugar_isomerase_related_protein	R	7e-51
GCA_000017945-FLGBHGLA_09180	arCOG01051	TktA2	Transketolase,_C-terminal_subunit	G	6.6e-123
GCA_000017945-FLGBHGLA_09190	arCOG00245	TyrA	Prephenate_dehydrogenase	E	2.5e-51
GCA_000017945-FLGBHGLA_09200	-	-	-	-	-
GCA_000017945-FLGBHGLA_09210	-	-	-	-	-
GCA_000017945-FLGBHGLA_09220	-	-	-	-	-
GCA_000017945-FLGBHGLA_09230	-	-	-	-	-
GCA_000017945-FLGBHGLA_09240	arCOG00203	EcfA2	Energy-coupling_factor_transporter_ATP-binding_protein_EcfA2	P	1.2e-17
GCA_000017945-FLGBHGLA_09250	-	-	-	-	-
GCA_000017945-FLGBHGLA_09260	arCOG01257	GroEL	Chaperonin_GroEL,_HSP60_family	O	7.5e-211
GCA_000017945-FLGBHGLA_09270	-	-	-	-	-
GCA_000017945-FLGBHGLA_09280	arCOG01065	HcaD	NAD(FAD)-dependent_dehydrogenase	R	6.9e-105
GCA_000017945-FLGBHGLA_09290	arCOG00986	-	RNA_methylase_associated_PUA_domain	J	2e-72
GCA_000017945-FLGBHGLA_09300	arCOG05992	-	Uncharacterized_protein	S	4.5e-57
GCA_000017945-FLGBHGLA_09310	arCOG00093	PurF	Glutamine_phosphoribosylpyrophosphate_amidotransferase	F	2.8e-98
GCA_000017945-FLGBHGLA_09320	arCOG01141	-	ICC-like_phosphoesterase	R	2e-33
GCA_000017945-FLGBHGLA_09330	arCOG00038	ThiI	tRNA_S(4)U_4-thiouridine_synthase	J	4.4e-25
GCA_000017945-FLGBHGLA_09340	arCOG00017	-	Predicted_transcriptional_regulator	R	1.2e-21
GCA_000017945-FLGBHGLA_09350	arCOG01218	TrxA	Thiol-disulfide_isomerase_or_thioredoxin	O	5.3e-49
GCA_000017945-FLGBHGLA_09360	arCOG04209	RPL15A	Ribosomal_protein_L15E	J	9.5e-82
GCA_000017945-FLGBHGLA_09370	arCOG06088	-	Zn_finger_protein	S	6.5e-23
GCA_000017945-FLGBHGLA_09380	arCOG00321	TldD	Zn-dependent_protease,_component_of_TldD/TldE_system	O	8.7e-88
GCA_000017945-FLGBHGLA_09390	arCOG04536	ArfB	Creatinine_amidohydrolase/Fe(II)-dependent_formamide_hydrolase_involved_in_riboflavin_and_F420_biosynthesis	H	4.6e-24
GCA_000017945-FLGBHGLA_09400	arCOG01296	TrxB	Thioredoxin_reductase	O	1.8e-78
GCA_000017945-FLGBHGLA_09410	arCOG00995	-	Queuine_tRNA-ribosyltransferase_related_protein	J	6.4e-45
GCA_000017945-FLGBHGLA_09420	arCOG01006	ZnuB	ABC-type_Mn2+/Zn2+_transport_system,_permease_component	P	2.9e-29
GCA_000017945-FLGBHGLA_09430	arCOG01005	LraI	ABC-type_metal_ion_transport_system,_periplasmic_component/surface_adhesin	P	2.3e-21
GCA_000017945-FLGBHGLA_09440	arCOG01075	-	NUDIX_family_hydrolase	F	1.3e-33
GCA_000017945-FLGBHGLA_09450	arCOG01717	GatA	Asp-tRNAAsn/Glu-tRNAGln_amidotransferase_A_subunit_or_related_amidase	J	1e-112
GCA_000017945-FLGBHGLA_09460	-	-	-	-	-
GCA_000017945-FLGBHGLA_09470	arCOG04319	-	Uncharacterized_membrane_protein	S	3.2e-39
GCA_000017945-FLGBHGLA_09480	arCOG04122	Emg1	rRNA_pseudouridine-1189_N-methylase_Emg1,_Nep1/Mra1_family	J	1.8e-65
GCA_000017945-FLGBHGLA_09490	arCOG03271	YtfP	Uncharacterized_protein_YtfP,_gamma-glutamylcyclotransferase_(GGCT)/AIG2-like_family	R	4.6e-18
